FullLanguage	Language	Label	Family	InventoryLength	Tokens	TranscriptLength	AudioLength	Unobserved	Errors	DistinctErrors
Amarasi	Amarasi	Amarasi	Austronesian	18	20	374	38	3	0	0
American English - Southern Michigan	American English - Southern Michigan	American_English__Southern_Michigan	Indo-European	39	41	563	26	2	0	0
Amharic	Amharic	Amharic	Afro-Asiatic	73	73	751	53	25	0	0
Arabic	Arabic	Arabic	Afro-Asiatic	37	37	579	43	4	0	0
Assamese	Assamese	Assamese	Indo-European	31	32	657	50	7	8	1
Australian English	Australian English	Australian_English	Indo-European	43	47	551	37	4	2	2
Azerbaijani	Azerbaijani	Azerbaijani	Turkic	35	38	519	48	4	4	1
Bardi	Bardi	Bardi	Nyulnyulan	24	27	840	NA	2	6	3
Basaa	Basaa	Basaa	Atlantic-Congo	44	48	447	52	7	5	2
Basque (Western Low Navarrese dialect)	Basque (Western Low Navarrese dialect)	Basque_Western_Low_Navarrese_dialect	Basque	37	37	549	NA	10	0	0
Belgian Limburg dialect of Hamont	Belgian Limburg dialect of Hamont	Belgian_Limburg_dialect_of_Hamont	Indo-European	55	68	423	33	17	12	8
Belgian Standard Dutch	Belgian Standard Dutch	Belgian_Standard_Dutch	Indo-European	40	44	505	45	7	56	4
Bemba	Bemba	Bemba	Atlantic-Congo	36	39	551	54	4	0	0
Bengali (Bangladeshi Standard)	Bengali (Bangladeshi Standard)	Bengali_Bangladeshi_Standard	Indo-European	79	81	537	52	43	3	2
Béarnais (Gascon)	Bearnais (Gascon)	Bearnais_Gascon	Indo-European	37	39	578	86	5	1	1
Brazilian Portuguese	Brazilian Portuguese	Brazilian_Portuguese	Indo-European	35	35	481	35	2	0	0
Breton (Treger dialect)	Breton (Treger dialect)	Breton_Treger_dialect	Indo-European	36	37	569	NA	0	0	0
Breton of the Isle of Groix	Breton of the Isle of Groix	Breton_of_the_Isle_of_Groix	Indo-European	50	50	466	NA	12	0	0
British English recieved pronunciation	British English recieved pronunciation	British_English_recieved_pronunciation	Indo-European	46	47	543	40	5	1	1
Brunei Malay	Brunei Malay	Brunei_Malay	Austronesian	21	22	513	32	1	0	0
Bukharan Tajik	Bukharan Tajik	Bukharan_Tajik	Indo-European	29	29	645	49	1	0	0
Bulgarian	Bulgarian	Bulgarian	Indo-European	30	30	639	58	3	0	0
Burmese	Burmese	Burmese	Sino-Tibetan	55	56	384	31	12	0	0
Castilian Spanish	Castilian Spanish	Castilian_Spanish	Indo-European	32	38	525	38	8	9	4
Catalan	Catalan	Catalan	Indo-European	31	31	570	29	4	0	0
Central Arrernte	Central Arrernte	Central_Arrernte	Pama-Nyungan	52	56	570	59	23	1	1
Central Sama	Central Sama	Central_Sama	Austronesian	41	42	976	72	15	12	1
Chicahuaxtla Triqui	Chicahuaxtla Triqui	Chicahuaxtla_Triqui	Otomanguean	42	47	664	48	14	0	0
Chikasaw	Chikasaw	Chikasaw	Muskogean	43	44	548	NA	13	2	1
Chinese (Hong Kong Cantonese)	Chinese (Hong Kong Cantonese)	Chinese_Hong_Kong_Cantonese	Sino-Tibetan	54	63	634	25	19	0	0
Chistabino (Pyrenean Aragonese)	Chistabino (Pyrenean Aragonese)	Chistabino_Pyrenean_Aragonese	Indo-European	45	49	1018	70	13	3	3
Cicipu	Cicipu	Cicipu	Atlantic-Congo	82	87	857	97	40	0	0
Cocos Malay	Cocos Malay	Cocos_Malay	Austronesian	25	25	506	56	1	0	0
Croatian	Croatian	Croatian	Indo-European	37	37	602	35	4	0	0
Cypriot Greek	Cypriot Greek	Cypriot_Greek	Indo-European	23	23	660	33	1	0	0
Czech spoken in Bohemia	Czech spoken in Bohemia	Czech_spoken_in_Bohemia	Indo-European	39	45	590	40	4	4	2
Czech spoken in Moravia	Czech spoken in Moravia	Czech_spoken_in_Moravia	Indo-European	39	44	582	39	5	0	0
Czech	Czech	Czech	Indo-European	39	39	564	33	4	0	0
Danish	Danish	Danish	Indo-European	48	49	540	26	7	1	1
Dari Afghan Persian Formal	Dari Afghan Persian Formal	Dari_Afghan_Persian_Formal	Indo-European	36	36	668	NA	6	0	0
Dari Afghan Persian Informal	Dari Afghan Persian Informal	Dari_Afghan_Persian_Informal	Indo-European	36	36	652	NA	6	0	0
Dutch Dialect of Maastricht	Dutch Dialect of Maastricht	Dutch_Dialect_of_Maastricht	Indo-European	49	55	633	36	8	2	1
Dutch dialect of Hasselt	Dutch dialect of Hasselt	Dutch_dialect_of_Hasselt	Indo-European	54	62	588	37	12	3	3
Dutch dialect of Weert	Dutch dialect of Weert	Dutch_dialect_of_Weert	Indo-European	54	54	633	39	16	0	0
Dutch	Dutch	Dutch	Indo-European	42	42	591	27	9	0	0
Ega	Ega	Ega	Atlantic-Congo	36	40	472	47	8	1	1
Ersu	Ersu	Ersu	Sino-Tibetan	60	66	818	57	22	2	2
Estonian	Estonian	Estonian	Uralic	97	101	735	49	53	8	4
European Portuguese	European Portuguese	European_Portuguese	Indo-European	47	52	498	29	5	0	0
Flemish-Brabant dialect of Orsmaal-Gussenhoven	Flemish-Brabant dialect of Orsmaal-Gussenhoven	FlemishBrabant_dialect_of_OrsmaalGussenhoven	Indo-European	54	59	563	43	18	2	2
French	French	French	Indo-European	35	38	464	30	3	5	3
Friulian	Friulian	Friulian	Indo-European	44	44	729	52	9	0	0
Galician	Galician	Galician	Indo-European	29	30	499	22	3	0	0
Gayo	Gayo	Gayo	Austronesian	27	27	514	60	2	0	0
German	German	German	Indo-European	41	42	627	35	7	2	1
Gitksan	Gitksan	Gitksan	Tsimshian	39	43	783	157	6	14	3
Goemai	Goemai	Goemai	Afro-Asiatic	39	49	512	68	9	17	4
Goizueta Basque	Goizueta Basque	Goizueta_Basque	Basque	33	36	530	NA	4	1	1
Greek Thrace Xoraxane Romane	Greek Thrace Xoraxane Romane	Greek_Thrace_Xoraxane_Romane	Indo-European	35	35	641	50	5	0	0
Hakka Chinese	Hakka Chinese	Hakka_Chinese	Sino-Tibetan	42	47	667	46	6	0	0
Hanoi Vietnamese	Hanoi Vietnamese	Hanoi_Vietnamese	Austroasiatic	36	42	690	31	5	0	0
Hausa	Hausa	Hausa	Afro-Asiatic	42	44	806	63	8	3	2
Hebrew	Hebrew	Hebrew	Afro-Asiatic	30	30	717	68	2	0	0
Hindi	Hindi	Hindi	Indo-European	85	87	604	NA	45	1	1
Hungarian	Hungarian	Hungarian	Uralic	68	69	595	36	23	2	1
Ibibio	Ibibio	Ibibio	Atlantic-Congo	32	38	572	66	6	21	2
Igbo	Igbo	Igbo	Atlantic-Congo	38	39	502	44	7	0	0
Ika Igbo	Ika Igbo	Ika_Igbo	Atlantic-Congo	47	48	481	59	12	2	1
Indonesian	Indonesian	Indonesian	Austronesian	31	31	846	85	7	0	0
Irish	Irish	Irish	Indo-European	50	52	609	NA	8	2	2
Istanbul Judeo-Spanish	Istanbul Judeo-Spanish	Istanbul_JudeoSpanish	Indo-European	25	26	628	NA	2	0	0
Isthmus (Juchitán) Zapotec	Isthmus (Juchitan) Zapotec	Isthmus_Juchitan_Zapotec	Otomanguean	34	34	425	43	5	0	0
Italian	Italian	Italian	Indo-European	30	35	668	NA	4	0	0
Itunyoso Trique	Itunyoso Trique	Itunyoso_Trique	Afro-Asiatic	47	57	699	56	22	0	0
Jamaican Creole	Jamaican Creole	Jamaican_Creole	Indo-European	33	33	474	47	2	0	0
Japanese	Japanese	Japanese	Japonic	22	23	543	32	2	1	1
Jicarilla Apache	Jicarilla Apache	Jicarilla_Apache	Athabaskan-Eyak-Tlingit	52	57	834	NA	15	4	1
Kabiye	Kabiye	Kabiye	Atlantic-Congo	51	56	541	48	13	5	4
Kalabari Ijo	Kalabari Ijo	Kalabari_Ijo	Ijoid	40	44	851	102	12	0	0
Kedayan	Kedayan	Kedayan	Austronesian	20	20	565	51	2	0	0
Keo	Keo	Keo	Austronesian	31	31	511	NA	4	0	0
Kera	Kera	Kera	Afro-Asiatic	41	45	803	76	7	8	1
Khowar	Khowar	Khowar	Indo-European	44	46	549	46	11	1	1
Korean	Korean	Korean	Koreanic	48	48	485	50	14	0	0
Kunama	Kunama	Kunama	Kunama	53	57	681	59	26	3	1
Liverpool English	Liverpool English	Liverpool_English	Indo-European	41	41	494	27	4	0	0
Lizu	Lizu	Lizu	Sino-Tibetan	48	54	783	61	9	0	0
Lower Xumi	Lower Xumi	Lower_Xumi	Sino-Tibetan	64	74	648	53	21	0	0
Luanyjang Dinka	Luanyjang Dinka	Luanyjang_Dinka	Nilotic	59	65	665	NA	25	2	2
Lusoga Lutenga	Lusoga Lutenga	Lusoga_Lutenga	Atlantic-Congo	94	102	693	84	46	2	2
Luxembourgish	Luxembourgish	Luxembourgish	Indo-European	55	57	698	54	16	4	1
Lyonnais (Francoprovencal)	Lyonnais (Francoprovencal)	Lyonnais_Francoprovencal	Indo-European	33	38	750	83	1	1	1
Mah Meri	Mah Meri	Mah_Meri	Austroasiatic	58	59	863	103	18	0	0
Makasar	Makasar	Makasar	Austronesian	37	37	738	111	7	0	0
Malayalam Namboodiri dialect	Malayalam Namboodiri dialect	Malayalam_Namboodiri_dialect	Dravidian	78	81	571	41	35	0	0
Mambay	Mambay	Mambay	Atlantic-Congo	60	75	1306	120	14	12	8
Mapudungun	Mapudungun	Mapudungun	Araucanian	28	28	548	57	4	0	0
Mavea	Mavea	Mavea	Austronesian	25	27	654	76	6	1	1
Mennonite Plautdietsch	Mennonite Plautdietsch	Mennonite_Plautdietsch	Indo-European	55	55	527	44	17	0	0
Mono Lake Northern Paiute	Mono Lake Northern Paiute	Mono_Lake_Northern_Paiute	Uto-Aztecan	36	37	275	44	6	0	0
Mono	Mono	Mono	Atlantic-Congo	41	44	484	47	14	0	0
Munji	Munji	Munji	Indo-European	41	44	616	55	9	0	0
Murcian Spanish	Murcian Spanish	Murcian_Spanish	Indo-European	33	36	596	38	8	6	2
Nara	Nara	Nara	Nara	54	60	598	NA	18	0	0
Nen	Nen	Nen	Morehead-Wasur	33	37	751	90	8	22	3
Nepali	Nepali	Nepali	Indo-European	67	70	600	43	27	7	3
New Zealand English	New Zealand English	New_Zealand_English	Indo-European	47	51	546	28	8	1	1
Niuean	Niuean	Niuean	Austronesian	20	22	892	NA	3	0	0
Nivacle	Nivacle	Nivacle	Matacoan	34	39	724	59	7	1	1
Northwest Sahaptin	Northwest Sahaptin	Northwest_Sahaptin	Sahaptian	40	40	496	60	13	0	0
Nuosu Yi	Nuosu Yi	Nuosu_Yi	Sino-Tibetan	55	61	446	30	19	0	0
Nuuchahnulth	Nuuchahnulth	Nuuchahnulth	Wakashan	43	43	313	40	10	0	0
Palula	Palula	Palula	Indo-European	40	40	530	54	4	0	0
Persian (Farsi)	Persian (Farsi)	Persian_Farsi	Indo-European	29	29	650	57	1	0	0
Pitjantjatjara	Pitjantjatjara	Pitjantjatjara	Pama-Nyungan	25	25	577	68	5	0	0
Polish	Polish	Polish	Indo-European	39	39	554	40	4	0	0
Russian	Russian	Russian	Indo-European	42	42	684	37	4	0	0
Salasaca Quichua	Salasaca Quichua	Salasaca_Quichua	Quechuan	27	27	804	59	4	0	0
Sandawe	Sandawe	Sandawe	Sandawe	59	65	508	48	21	6	2
Seri	Seri	Seri	Seri	26	35	1031	70	4	10	4
Setswana South Africa	Setswana South Africa	Setswana_South_Africa	Atlantic-Congo	37	45	505	38	5	8	4
Shanghai Chinese	Shanghai Chinese	Shanghai_Chinese	Sino-Tibetan	44	53	984	46	5	0	0
Shilluk	Shilluk	Shilluk	Nilotic	49	51	562	NA	11	1	1
Shipibo	Shipibo	Shipibo	Pano-Tacanan	24	28	1690	NA	0	6	1
Shiwilu (Jebero)	Shiwilu (Jebero)	Shiwilu_Jebero	Cahuapanan	21	21	1297	115	3	0	0
Sindhi	Sindhi	Sindhi	Indo-European	66	66	559	42	18	0	0
Slovak	Slovak	Slovak	Indo-European	44	46	555	43	9	3	2
Slovene	Slovene	Slovene	Indo-European	29	29	593	35	3	0	0
Southeastern Pashayi	Southeastern Pashayi	Southeastern_Pashayi	Indo-European	40	44	493	68	9	7	4
Spokane	Spokane	Spokane	Salishan	44	46	262	45	12	3	2
Standard Austrian German	Standard Austrian German	Standard_Austrian_German	Indo-European	40	51	594	44	7	11	8
Standard Chinese (Beijing)	Standard Chinese (Beijing)	Standard_Chinese_Beijing	Sino-Tibetan	46	50	806	48	7	1	1
Standard Georgian	Standard Georgian	Standard_Georgian	Kartvelian	33	39	493	47	3	8	4
Standard Malay (Brunei)	Standard Malay (Brunei)	Standard_Malay_Brunei	Austronesian	30	30	599	47	6	0	0
Standard Modern Greek	Standard Modern Greek	Standard_Modern_Greek	Indo-European	23	24	680	31	0	1	1
Standard Yiddish	Standard Yiddish	Standard_Yiddish	Indo-European	44	45	689	NA	15	1	1
Sumi (Sema)	Sumi (Sema)	Sumi_Sema	Sino-Tibetan	35	36	572	60	9	6	1
Swedish	Swedish	Swedish	Indo-European	35	41	614	32	4	16	6
Taba	Taba	Taba	Austronesian	36	36	568	NA	15	0	0
Tamambo	Tamambo	Tamambo	Austronesian	21	21	415	45	6	0	0
Tamil	Tamil	Tamil	Dravidian	28	31	616	54	2	45	3
Tashlhiyt Berber	Tashlhiyt Berber	Tashlhiyt_Berber	Afro-Asiatic	69	69	391	39	35	0	0
Tausug (Suluk)	Tausug (Suluk)	Tausug_Suluk	Austronesian	23	23	841	71	3	0	0
Telugu	Telugu	Telugu	Uto-Aztecan	77	77	569	40	40	0	0
Temne	Temne	Temne	Atlantic-Congo	28	31	591	68	4	3	1
Tena Quichua	Tena Quichua	Tena_Quichua	Quechuan	23	26	602	112	2	8	2
Tera	Tera	Tera	Afro-Asiatic	58	61	600	54	21	0	0
Thai	Thai	Thai	Tai-Kadai	42	47	780	62	11	0	0
Tilquiapan Zapotec	Tilquiapan Zapotec	Tilquiapan_Zapotec	Otomanguean	33	36	1175	104	2	5	3
Tukang Besi	Tukang Besi	Tukang_Besi	Austronesian	29	37	799	NA	4	32	4
Turkish	Turkish	Turkish	Turkic	37	37	560	24	4	0	0
Tyneside English	Tyneside English	Tyneside_English	Indo-European	52	52	542	28	11	0	0
Ukrainian	Ukrainian	Ukrainian	Indo-European	38	41	730	44	6	0	0
Upper Saxon (Chemnitz dialect)	Upper Saxon (Chemnitz dialect)	Upper_Saxon_Chemnitz_dialect	Indo-European	42	42	528	41	7	0	0
